コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
2168-T,パソナ,東証1部,827.00,840.00,817.00,839.00,198500,165506500
2169-T,CDS,東証1部,928.00,946.00,927.00,943.00,16200,15188100
2170-T,LINK&M,東証1部,314.00,317.00,309.00,311.00,903600,282647200
2172-S,インサイト,札証アンビシャス,,,,,0,0
2173-T,博展,JQグロース,479.00,481.00,477.00,480.00,1600,767300
2174-T,GCA,東証1部,768.00,783.00,766.00,781.00,149800,116297700
2175-T,SMS,東証1部,2800.00,2800.00,2705.00,2749.00,529200,1458980700
2176-T,イナリサーチ,JQスタンダード,1030.00,1193.00,997.00,1044.00,1388900,1502748500
2178-T,トライステージ,東証マザーズ,1946.00,1978.00,1946.00,1977.00,23300,45767900
2179-T,成学社,JQスタンダード,867.00,876.00,867.00,876.00,200,174300
2180-T,サニーサイド,JQグロース,856.00,856.00,856.00,856.00,1000,856000
2181-T,テンプHD,東証1部,1766.00,1798.00,1766.00,1792.00,941000,1684327900
2183-T,リニカル,東証1部,1372.00,1395.00,1370.00,1392.00,47300,65539000
2185-T,シイエム･シイ,JQスタンダード,2686.00,2727.00,2684.00,2727.00,800,2158900
2186-T,ソーバル,JQスタンダード,1286.00,1287.00,1286.00,1287.00,1800,2316000
2191-T,テラ,JQスタンダード,684.00,696.00,681.00,696.00,17800,12280400
2193-T,COOK,東証1部,1007.00,1012.00,995.00,1010.00,1085600,1087859500
2195-T,アミタHD,JQグロース,566.00,566.00,545.00,549.00,1500,828600
2196-T,エスクリ,東証1部,540.00,544.00,540.00,544.00,13100,7101300
2198-T,アイ･ケイ･ケイ,東証1部,633.00,634.00,626.00,634.00,14000,8853100
2201-T,森永菓,東証1部,4970.00,5110.00,4955.00,5060.00,625000,3156420500
2204-T,中村屋,東証1部,4650.00,4690.00,4650.00,4690.00,1800,8413500
2206-T,グリコ,東証1部,5880.00,6050.00,5880.00,6010.00,280900,1687135000
2207-T,名糖産,東証1部,1371.00,1384.00,1364.00,1383.00,9900,13645400
2208-T,ブルボン,東証2部,2411.00,2500.00,2390.00,2490.00,24200,58701400
2209-T,井村屋G,東証2部,1351.00,1359.00,1351.00,1359.00,200,271000
2211-T,不二家,東証1部,205.00,206.00,204.00,206.00,190000,38966000
2212-T,山崎パン,東証1部,2449.00,2473.00,2432.00,2448.00,657300,1609187800
2215-T,第一パン,東証1部,137.00,138.00,134.00,137.00,488000,66489000
2216-T,カンロ,東証2部,604.00,604.00,604.00,604.00,5000,3020000
2217-T,モロゾフ,東証1部,441.00,444.00,441.00,444.00,12000,5306000
2218-S,日糧パン,札証,179.00,180.00,179.00,180.00,2000,359000
2220-T,亀田菓,東証1部,5670.00,5720.00,5660.00,5690.00,34200,194599000
2221-T,岩塚菓,JQスタンダード,3500.00,3500.00,3490.00,3495.00,1100,3845500
2222-T,寿スピリッツ,東証1部,2460.00,2542.00,2445.00,2526.00,116800,293560300
2224-T,コモ,JQスタンダード,2330.00,2331.00,2317.00,2317.00,1400,3255000
2226-T,湖池屋,JQスタンダード,3105.00,3110.00,3105.00,3110.00,1100,3417500
2228-T,シベール,JQスタンダード,2983.00,2983.00,2973.00,2973.00,300,893100
2229-T,カルビー,東証1部,3780.00,3785.00,3750.00,3775.00,358000,1350660500
2230-T,GOYO,東証TPM,,,,,0,0
2264-T,森永乳,東証1部,851.00,871.00,845.00,849.00,2629000,2251356000
2266-T,六甲バタ,東証1部,2898.00,2954.00,2862.00,2869.00,86100,249521900
2267-T,ヤクルト,東証1部,4675.00,4740.00,4675.00,4710.00,366900,1728744000
2268-T,サーティワン,JQスタンダード,3945.00,3950.00,3940.00,3950.00,900,3549500
2269-T,明治HD,東証1部,10410.00,10560.00,10390.00,10450.00,434600,4545093000
2270-T,雪印メグ,東証1部,3660.00,3735.00,3640.00,3710.00,403300,1493065000
2270-S,雪印メグ,札証,,,,,0,0
2281-T,プリマハム,東証1部,377.00,379.00,376.00,378.00,458000,172878000
2282-T,日本ハム,東証1部,2415.00,2455.00,2407.00,2448.00,963000,2347525000
2286-T,林兼産,東証1部,899.00,899.00,889.00,893.00,15100,13480400
2288-T,丸大食,東証1部,498.00,500.00,493.00,498.00,165000,81914000
2291-T,福留ハム,東証2部,420.00,420.00,419.00,420.00,5000,2099000
2292-T,SFoods,東証1部,2720.00,2732.00,2702.00,2726.00,50900,138512100
2293-T,滝沢ハム,JQスタンダード,489.00,489.00,483.00,483.00,3000,1461000
2294-T,柿安本店,JQスタンダード,1855.00,1858.00,1855.00,1857.00,2700,5011500
2296-T,伊藤米久,東証1部,1011.00,1022.00,1006.00,1022.00,316400,322098400
2300-T,きょくと,JQスタンダード,561.00,562.00,557.00,562.00,1500,841800
2301-T,学情,東証1部,1161.00,1166.00,1152.00,1156.00,38100,44096700
2303-T,ドーン,JQスタンダード,2202.00,2217.00,2184.00,2202.00,26000,57120900
2304-T,CSSHD,JQスタンダード,493.00,499.00,493.00,496.00,2600,1289200
2305-T,スタジオアリス,東証1部,2165.00,2170.00,2157.00,2162.00,4700,10162600
2307-T,クロスキャット,JQスタンダード,545.00,550.00,539.00,544.00,20000,10893500
2309-T,シミックHD,東証1部,1523.00,1530.00,1501.00,1519.00,7300,11062800
2311-T,エプコ,JQスタンダード,1359.00,1361.00,1325.00,1361.00,3300,4458300
2315-T,SJI,JQスタンダード,79.00,79.00,77.00,77.00,658000,51289000
2317-T,システナ,東証1部,2035.00,2035.00,1989.00,2001.00,165300,331910900
2321-T,ソフトフロントH,JQグロース,234.00,239.00,234.00,235.00,301100,71004000
2323-T,fonfun,JQスタンダード,277.00,282.00,277.00,281.00,7300,2043400
2325-T,NJS,東証1部,1169.00,1180.00,1169.00,1177.00,2400,2822000
2326-T,デジアーツ,東証1部,2673.00,2701.00,2663.00,2690.00,76600,205676300
2327-T,NSSOL,東証1部,1898.00,1947.00,1895.00,1912.00,317200,609259100
2329-T,東北新社,JQスタンダード,705.00,714.00,699.00,709.00,16800,11877900
2330-T,フォーサイド,JQスタンダード,158.00,164.00,157.00,163.00,195700,31526600
2331-T,ALSOK,東証1部,5290.00,5350.00,5290.00,5330.00,221900,1181617000
2332-T,クエスト,JQスタンダード,779.00,779.00,775.00,775.00,1100,854100
2335-T,キューブシス,東証1部,625.00,632.00,625.00,632.00,5300,3345900
2337-T,いちご,東証1部,470.00,475.00,463.00,473.00,3705700,1743858700
2338-T,Fastep,東証2部,414.00,450.00,414.00,425.00,103200,44257400
2340-T,極楽湯,JQスタンダード,1220.00,1248.00,1196.00,1202.00,492600,599657000
2341-T,アルバイトタイ,JQスタンダード,198.00,199.00,197.00,198.00,48800,9654800
2342-T,トランス,東証マザーズ,620.00,628.00,620.00,621.00,68800,42870800
2344-T,平安レイ,JQスタンダード,716.00,732.00,716.00,732.00,11400,8254500
2345-T,アイスタディ,東証2部,916.00,919.00,908.00,915.00,2200,2010200
2349-T,エヌアイデイ,JQスタンダード,3095.00,3130.00,3050.00,3130.00,2000,6210500
2351-T,ASJ,東証マザーズ,440.00,441.00,423.00,426.00,48300,20809100
2352-T,エイジア,東証2部,1878.00,1939.00,1865.00,1918.00,53400,101722600
2353-T,日駐,東証1部,140.00,141.00,140.00,141.00,583400,81978200
2354-T,安川情報,東証2部,1215.00,1249.00,1153.00,1210.00,1906800,2300026100
2359-T,コア,東証1部,1050.00,1054.00,1040.00,1045.00,10600,11098400
2362-T,夢真HD,JQスタンダード,764.00,774.00,760.00,768.00,205900,158072300
2370-T,MDNT,東証マザーズ,145.00,147.00,144.00,146.00,509100,74194100
2371-T,カカクコム,東証1部,1809.00,1819.00,1802.00,1811.00,629500,1140230800
2372-T,アイロムG,東証1部,1003.00,1018.00,1003.00,1011.00,13400,13563600
2373-T,ケア21,JQスタンダード,2579.00,2620.00,2579.00,2590.00,15300,39670300
2374-T,セントケアHD,東証2部,1585.00,1615.00,1576.00,1605.00,28400,45354500
2375-T,スリープロ,東証2部,1109.00,1150.00,1097.00,1141.00,106900,120801900
2376-T,サイネックス,東証2部,882.00,888.00,882.00,888.00,3900,3459000
2378-T,ルネサンス,東証1部,1317.00,1331.00,1317.00,1328.00,24700,32738000
2379-T,ディップ,東証1部,2630.00,2680.00,2602.00,2659.00,790100,2087111400
2384-T,SBSHD,東証1部,898.00,924.00,896.00,924.00,169200,154450000
2385-T,総医研,東証マザーズ,306.00,309.00,303.00,307.00,160200,49124600
2388-T,ウェッジHD,JQグロース,640.00,669.00,640.00,657.00,204000,134248200
2389-T,オプトHD,東証1部,724.00,726.00,714.00,725.00,34200,24647100
2391-T,プラネット,JQスタンダード,1530.00,1530.00,1511.00,1516.00,1200,1824400
2393-T,日本ケア,東証2部,1024.00,1028.00,1006.00,1009.00,17900,18236600
2395-T,新日科学,東証1部,614.00,636.00,610.00,634.00,293300,183337300
2397-T,DNAチップ,東証2部,620.00,627.00,613.00,618.00,3800,2357500
2398-T,ツクイ,東証1部,701.00,704.00,693.00,695.00,193200,134704500
2400-T,Sケアメッセ,JQスタンダード,2551.00,2551.00,2533.00,2533.00,1600,4073300
2402-T,アマナ,東証マザーズ,690.00,695.00,689.00,695.00,2200,1523200
2404-T,鉄人化,東証2部,395.00,395.00,392.00,395.00,1200,471700
2405-T,FUJIKOH,東証2部,472.00,485.00,472.00,478.00,37800,18037000
2406-T,アルテHD,JQスタンダード,704.00,708.00,704.00,705.00,1900,1340600
2408-T,KG情報,JQスタンダード,502.00,502.00,501.00,501.00,1300,652000
2410-T,キャリアDC,東証1部,927.00,933.00,926.00,933.00,4600,4279500
2411-T,ゲンダイAG,JQスタンダード,535.00,535.00,532.00,533.00,2400,1282400
2412-T,ベネ･ワン,東証2部,3070.00,3105.00,3070.00,3095.00,48800,150944500
2413-T,エムスリー,東証1部,3490.00,3500.00,3430.00,3495.00,1411400,4905885500
2415-T,ヒューマンHD,JQスタンダード,1490.00,1539.00,1431.00,1440.00,20400,30017100
2417-T,ツヴァイ,東証2部,775.00,782.00,775.00,780.00,2000,1557900
2418-T,ツカダGHD,東証1部,719.00,721.00,717.00,720.00,20900,15039100
2424-T,ブラス,東証マザーズ,3105.00,3120.00,3085.00,3120.00,3700,11479000
2425-T,ケアサービス,JQグロース,666.00,666.00,649.00,649.00,700,457600
2427-T,アウトソシング,東証1部,4150.00,4155.00,4060.00,4080.00,220200,900682000
2428-T,ウェルネット,東証1部,1282.00,1285.00,1270.00,1277.00,116700,148881700
2429-T,ワールドHD,東証1部,1661.00,1666.00,1628.00,1639.00,117800,193211400
2432-T,DeNA,東証1部,3410.00,3470.00,3315.00,3330.00,2060400,6941753000
2433-T,博報堂DY,東証1部,1205.00,1220.00,1199.00,1217.00,708800,860977400
2435-T,シダー,JQスタンダード,235.00,236.00,231.00,232.00,13200,3081900
2436-T,共同PR,JQスタンダード,725.00,725.00,725.00,725.00,1700,1232500
2437-T,シンワアート,JQスタンダード,330.00,339.00,327.00,337.00,35200,11752400
2438-T,アスカネット,東証マザーズ,1017.00,1043.00,1017.00,1032.00,42300,43559400
2440-T,ぐるなび,東証1部,2945.00,3025.00,2934.00,3000.00,343200,1028264100
2445-T,SRGタカミヤ,東証1部,540.00,542.00,532.00,534.00,34900,18698700
2449-T,プラップJ,JQスタンダード,1011.00,1014.00,1001.00,1004.00,1500,1509100
2452-T,CMIND,東証TPM,,,,,0,0
2453-T,JBR,東証1部,232.00,239.00,230.00,237.00,354400,83296000
2454-T,オールアバウト,JQスタンダード,503.00,509.00,501.00,503.00,8800,4428500
2458-T,夢テクノロジ,JQスタンダード,1260.00,1295.00,1219.00,1242.00,58200,73212600
2459-T,アウンコンサル,東証2部,341.00,341.00,332.00,337.00,21500,7235600
2461-T,ファンコミ,東証1部,800.00,812.00,794.00,810.00,368800,296914700
2462-T,ジェイコムHD,東証1部,1900.00,1947.00,1900.00,1944.00,68600,132803000
2464-T,BBT,東証マザーズ,354.00,377.00,354.00,377.00,201800,73559700
2468-T,フュートレック,東証2部,803.00,832.00,796.00,829.00,253000,206817100
2469-T,ヒビノ,JQスタンダード,2545.00,2575.00,2511.00,2535.00,6000,15252400
2471-T,エスプール,JQスタンダード,1759.00,1759.00,1711.00,1714.00,34300,59350400
2475-T,WDB,東証1部,1030.00,1059.00,1030.00,1053.00,27000,28369300
2477-T,比較.com,東証マザーズ,995.00,995.00,984.00,989.00,19500,19300300
2479-T,ジェイテック,JQグロース,201.00,201.00,197.00,200.00,39000,7731400
